,dealer_card1,delear_card2,player_card1,player_card2,unused_card,reward,action
0,8,11,10,7,20,-1,0
1,8,10,2,10,7,-1,1
2,10,6,8,5,10,-1,0
3,20,10,7,11,8,1,1
4,5,11,9,7,10,0,1
5,10,3,10,6,10,1,1
6,10,3,20,9,11,-1,1
7,2,10,10,10,4,1,1
8,10,9,2,10,3,-1,1
9,3,10,11,8,7,-1,0
10,9,8,10,10,5,1,1
11,8,10,3,20,10,-1,0
12,20,3,4,6,9,1,0
13,6,10,10,5,20,-1,1
14,10,20,9,10,6,0,0
15,2,9,10,7,4,1,0
16,3,4,5,10,11,1,1
17,20,7,10,10,5,0,0
18,4,11,8,10,6,-1,0
19,5,2,20,10,7,-1,0
20,6,11,10,3,9,-1,0
21,4,3,10,9,7,-1,0
22,10,5,2,7,11,1,0
23,10,8,10,9,7,-1,0
24,10,8,9,3,10,-1,0
25,6,7,10,9,3,-1,0
26,10,20,11,7,6,0,0
27,10,2,6,20,3,-1,0
28,10,10,2,7,11,-1,1
29,20,10,6,2,3,1,0
30,5,8,6,9,10,1,1
31,10,6,9,10,3,-1,0
32,4,5,20,9,8,-1,0
33,10,10,8,6,10,-1,0
34,10,8,11,10,9,1,1
35,6,10,4,10,2,0,0
36,6,7,10,3,5,1,0
37,8,11,4,10,10,-1,0
38,10,20,6,2,10,1,1
39,10,10,7,3,10,0,0
40,11,3,5,7,10,-1,0
41,3,7,10,9,2,1,0
42,11,8,10,20,10,-1,1
43,10,8,5,10,11,-1,0
44,10,9,2,4,10,-1,0
45,10,10,10,6,8,-1,1
46,6,4,9,10,11,1,1
47,4,20,7,5,2,1,0
48,10,6,20,3,4,-1,0
49,20,10,10,7,5,0,0
50,6,10,9,11,10,1,1
51,2,10,8,7,10,1,1
52,11,10,9,20,8,-1,1
53,10,20,3,10,11,0,0
54,10,10,2,7,4,-1,1
55,20,6,9,10,7,0,0
56,9,5,10,10,2,1,1
57,4,11,3,2,8,-1,1
58,6,3,2,11,7,1,0
59,10,5,3,10,9,-1,1
60,10,11,10,9,4,-1,1
61,11,10,5,10,20,-1,1
62,10,3,10,2,7,1,0
63,10,3,7,5,20,-1,0
64,10,3,10,20,2,-1,0
65,9,2,10,5,6,1,1
66,5,8,10,7,11,-1,0
67,10,20,3,6,5,1,0
68,11,10,9,3,10,-1,0
69,2,8,4,6,10,1,0
70,9,5,6,10,10,-1,0
71,10,3,10,20,2,-1,0
72,10,3,10,9,5,-1,0
73,10,8,5,20,11,-1,0
74,10,10,10,7,4,1,0
75,7,10,9,20,6,-1,1
76,3,11,9,10,4,1,1
77,5,20,6,3,2,1,0
